STATE_NAME,STATE_ABBR,Total_cases,Total_deaths,Total_recovered
Alabama,AL,154701 ,2540 ,67948 
Alaska,AK,7824 ,56 ,4057 
Arizona,AZ,218507 ,5650 ,35261 
Arkansas,AR,83697 ,1369 ,75312 
California,CA,819524 ,15900 ,419515 
Colorado,CO,70536 ,2051 ,31601 
Connecticut,CT,57550 ,4508 ,42240 
Delaware,DE,20613 ,636 ,10622 
District of Columbia,DC,15326 ,627 ,12155 
Florida,FL,706516 ,14317 ,321288 
Georgia,GA,318026 ,7021 ,96907 
Hawaii,HI,12410 ,136 ,10298 
Idaho,ID,42048 ,469 ,22180 
Illinois,IL,295763 ,8916 ,208128 
Indiana,IN,120019 ,3632 ,94816 
Iowa,IA,89247 ,1358 ,69524 
Kansas,KS,59812 ,678 ,45989 
Kentucky,KY,68840 ,1174 ,11840 
Louisiana,LA,166033 ,5511 ,154163 
Maine,ME,5391 ,141 ,4678 
Maryland,MD,124725 ,3949 ,7536 
Massachusetts,MA,132116 ,9456 ,113768 
Michigan,MI,138014 ,7083 ,95051 
Minnesota,MN,99134 ,2089 ,89392 
Mississippi,MS,98190 ,2969 ,89737 
Missouri,MO,129532 ,2213 ,21886 
Montana,MT,13071 ,180 ,9256 
Nebraska,NE,45564 ,478 ,33362 
Nevada,NV,79980 ,1600 ,56270 
New Hampshire,NH,8266 ,439 ,7522 
New Jersey,NJ,208994 ,16245 ,171616 
New Mexico,NM,29435 ,877 ,16671 
New York,NY,493155 ,33246 ,394930 
North Carolina,NC,210632 ,3532 ,184422 
North Dakota,ND,21846 ,246 ,17938 
Ohio,OH,154107 ,4821 ,132980 
Oklahoma,OK,87199 ,1031 ,73100 
Oregon,OR,33509 ,559 ,5720 
Pennsylvania,PA,164141 ,8224 ,130352 
Rhode Island,RI,24748 ,1114 ,2322 
South Carolina,SC,147942 ,3378 ,71691 
South Dakota,SD,22389 ,223 ,18508 
Tennessee,TN,196139 ,2454 ,179332 
Texas,TX,787271 ,16132 ,683669 
Utah,UT,73042 ,459 ,55141 
Vermont,VT,1752 ,58 ,1606 
Virginia,VA,148271 ,3208 ,17633 
Washington,WA,90393 ,2128 ,42783 
West Virginia,WV,15848 ,350 ,11507 
Wisconsin,WI,122274 ,1327 ,99925 
Wyoming,WY,5948 ,50 ,4791 
